PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
UNIVERSITAS GADJAH MADA,3611453,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,67193,189,65064,72222
UNIVERSITAS INDONESIA,3211046,FISIKA,6633,1395,65047,70548
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821306,SAINS AKTUARIA,67243,1695,65025,72192
INSTITUT PERTANIAN BOGOR,3411226,STATISTIKA,67309,2243,64963,72719
UNIVERSITAS GADJAH MADA,3611387,TEKNIK ELEKTRO,67398,2245,64961,7438
UNIVERSITAS INDONESIA,3211174,ILMU KESEHATAN MASYARAKAT,66823,1456,64961,71631
UNIVERSITAS INDONESIA,3211135,ARSITEKTUR,67935,2637,64947,74805
UNIVERSITAS INDONESIA,3211201,TEKNIK LINGKUNGAN,66591,1555,64868,70208
INSTITUT PERTANIAN BOGOR,3411106,ILMU KOMPUTER,66379,1635,64862,74875
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821121,TEKNIK SIPIL,67481,2684,64851,76569
UNIVERSITAS LAMPUNG,1911201,PEND. KEDOKTERAN,66355,1447,64702,71057
UNIVERSITAS PADJADJARAN,3331284,ILMU AKTUARIA,66628,172,64677,72201
UNIVERSITAS INDONESIA,3211271,KESELAMATAN DAN KESEHATAN KERJA,66159,1405,64644,69159
INSTITUT TEKNOLOGI BANDUNG,3321011,FAK. ILMU DAN TEKNOLOGI KEBUMIAN (FITB),66894,1702,6462,7321
UNIVERSITAS GADJAH MADA,3611422,TEKNIK FISIKA,66732,1828,64587,71884
UNIVERSITAS SYIAH KUALA,1111165,PENDIDIKAN DOKTER,66284,166,64571,71167
UNIVERSITAS PADJADJARAN,3331206,TEKNIK INFORMATIKA,6639,1509,64565,69709
INSTITUT TEKNOLOGI BANDUNG,3321123,SEKOLAH ILMU & TEKNO HAYATI - PROG REKAYASA,66406,1384,64562,7043
UNIVERSITAS GADJAH MADA,3611341,PERENCANAAN WILAYAH DAN KOTA,66549,1744,64543,73379
INSTITUT PERTANIAN BOGOR,3411497,AKTUARIA,66716,1833,64489,69932
UNIVERSITAS JEMBER,3711083,PENDIDIKAN DOKTER GIGI,66004,1308,6447,70066
UNIVERSITAS BRAWIJAYA,3721305,PENDIDIKAN DOKTER GIGI,66095,1496,64443,6986
UNIVERSITAS JENDERAL SOEDIRMAN,3511212,PENDIDIKAN DOKTER GIGI,65741,992,64381,68039
UNIVERSITAS GADJAH MADA,3611082,GIZI KESEHATAN,66869,1892,64332,72154
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821071,TEKNIK ELEKTRO,66503,1738,64307,73321
UNIVERSITAS RIAU,1311191,PEND. DOKTER,65877,1744,64301,72068
UNIVERSITAS INDONESIA,3211263,KESEHATAN LINGKUNGAN,65539,1017,64277,6783
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821086,TEKNIK KIMIA,66982,1995,64256,72717
UNIVERSITAS DIPONEGORO,3551236,TEKNIK INDUSTRI,66206,1604,64238,7144
UNIVERSITAS GADJAH MADA,3611356,TEKNIK GEODESI,66306,2062,64144,74732
UNIVERSITAS GADJAH MADA,3611163,KIMIA,66098,2071,6413,72988
UNIVERSITAS SEBELAS MARET,3531174,INFORMATIKA,65953,172,63986,71834
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821136,ARSITEKTUR,66033,2264,63937,76721
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821032,STATISTIKA,65915,1782,63931,72421
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821314,TEKNOLOGI INFORMASI,65918,1751,63899,70049
UNIVERSITAS DIPONEGORO,3551171,TEKNIK SIPIL,65618,152,63874,71213
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821105,TEKNIK INDUSTRI,66742,1999,63867,72573
UNIVERSITAS INDONESIA,3211294,GEOLOGI,65435,1427,6386,70273
INSTITUT TEKNOLOGI BANDUNG,3321154,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS CIREBON,65349,1496,6385,69662
UNIVERSITAS GADJAH MADA,3611213,ELEKTRONIKA DAN INSTRUMENTASI,66527,1916,63837,71391
INSTITUT TEKNOLOGI BANDUNG,3321131,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN (FTSL) - KAMPUS JATINANGOR,65661,1355,63812,69383
UNIVERSITAS GADJAH MADA,3611205,GEOFISIKA,65752,1733,63775,7002
UNIVERSITAS DIPONEGORO,3551333,KEDOKTERAN GIGI,66194,2687,63763,74202
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821295,TEKNIK BIOMEDIK,65705,1623,6369,68738
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821063,TEKNIK MESIN,65935,1637,6367,7185
UNIVERSITAS PENDIDIKAN GANESHA,6121217,KEDOKTERAN,65665,2465,63654,73463
UNIVERSITAS SEBELAS MARET,3531023,PSIKOLOGI,65226,1263,63651,68589
INSTITUT PERTANIAN BOGOR,3411273,TEKNOLOGI PANGAN,65746,1865,63642,72804
UNIVERSITAS DIPONEGORO,3551205,TEKNIK KIMIA,65557,1457,63615,6989
UNIVERSITAS INDONESIA,3211062,BIOLOGI,65797,2027,63591,70895
UNIVERSITAS DIPONEGORO,3551101,INFORMATIKA,65698,1733,63562,70766
UNIVERSITAS INDONESIA,3211286,GEOFISIKA,656,1578,6355,70048
INSTITUT PERTANIAN BOGOR,3411315,TEKNIK SIPIL DAN LINGKUNGAN,6501,998,63539,67671
UNIVERSITAS MULAWARMAN,5411211,PENDIDIKAN DOKTER,65057,132,63514,68235
UNIVERSITAS GADJAH MADA,3611364,TEKNIK GEOLOGI,65745,2059,63499,72719
UNIVERSITAS PADJADJARAN,3331164,FARMASI,65909,2188,63472,75346
UNIVERSITAS JENDERAL SOEDIRMAN,3511131,FARMASI,64913,1485,63433,72952
UNIVERSITAS AIRLANGGA,3811037,PENDIDIKAN APOTEKER,65701,1624,63427,72426
UNIVERSITAS BRAWIJAYA,3721247,TEKNIK INDUSTRI,65002,1556,63364,69937
UNIVERSITAS LAMBUNG MANGKURAT,5311233,PENDIDIKAN DOKTER,6533,1759,63345,72557
UNIVERSITAS GADJAH MADA,3611461,TEKNOLOGI INDUSTRI PERTANIAN,6538,1894,63336,72078
UNIVERSITAS BRAWIJAYA,3721182,STATISTIKA,64974,1677,63286,71369
INSTITUT PERTANIAN BOGOR,3411354,ILMU GIZI,65077,1528,63278,69039
UNIVERSITAS TANJUNGPURA,5111207,PEND. DOKTER,65537,1842,63265,70853
UNIVERSITAS UDAYANA,6111262,PENDIDIKAN DOKTER GIGI,64677,111,63259,66991
UNIVERSITAS JAMBI,1511146,KEDOKTERAN,64441,966,63242,6699
INSTITUT PERTANIAN BOGOR,3411041,BIOKIMIA,64944,1841,63193,70443
UNIVERSITAS SEBELAS MARET,3531077,TEKNIK SIPIL,64711,1162,63188,69046
UNIVERSITAS PADJADJARAN,3331067,STATISTIKA,65638,2399,63173,73817
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821094,TEKNIK FISIKA,65002,1577,63159,7053
UNIVERSITAS GADJAH MADA,3611012,BIOLOGI,65205,1771,63144,72388
UNIVERSITAS GADJAH MADA,3611051,PEMBANGUNAN WILAYAH,65473,1749,63143,69119
UNIVERSITAS PADJADJARAN,3331141,TEKNOLOGI PANGAN,65111,1965,63124,73332
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821256,TEKNIK KOMPUTER,65327,1969,63095,7041
UNIVERSITAS GADJAH MADA,3611414,TEKNIK NUKLIR,66184,2353,63021,72607
UNIVERSITAS INDONESIA,3211085,GEOGRAFI,64562,1287,62984,69427
UNIVERSITAS BRAWIJAYA,3721255,TEKNIK INFORMATIKA,64677,1448,62977,68555
UNIVERSITAS BRAWIJAYA,3721367,SISTEM INFORMASI,64445,1284,62963,69999
UNIVERSITAS ANDALAS,1411064,PENDIDIKAN DOKTER GIGI,6444,1136,62958,66915
UNIVERSITAS BRAWIJAYA,3721336,FARMASI,64923,1848,62928,70874
UNIVERSITAS SEBELAS MARET,3531112,TEKNIK KIMIA,64297,1154,62927,67525
UNIVERSITAS PADJADJARAN,3331036,KIMIA,6456,1313,62908,69316
UNIVERSITAS INDONESIA,3211197,TEKNIK PERKAPALAN,64584,1592,62901,68035
UNIVERSITAS DIPONEGORO,3551213,TEKNIK ELEKTRO,64829,18,629,70064
UNIVERSITAS GADJAH MADA,3611155,FISIKA,65238,2756,6288,76611
UNIVERSITAS GADJAH MADA,3611043,KARTOGRAFI DAN PENGINDERAAN JAUH,65327,2497,6287,75556
UNIVERSITAS DIPONEGORO,3551186,ARSITEKTUR,64676,1594,62864,70126
INSTITUT PERTANIAN BOGOR,3411443,MATEMATIKA,64466,1537,62851,69299
UNIVERSITAS DIPONEGORO,3551097,STATISTIKA,64644,1513,62828,70409
UNIVERSITAS SEBELAS MARET,3531271,FARMASI,64724,1256,62803,67067
