PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
UNIVERSITAS ANDALAS,1411211,SISTEM INFORMASI,63152,1686,61035,67135
UNIVERSITAS DIPONEGORO,3551267,TEKNIK GEOLOGI,62411,1145,61007,67173
"UPN ""VETERAN"" JAKARTA",3241045,INFORMATIKA,62691,1508,60982,6897
UNIVERSITAS BRAWIJAYA,3721352,TEKNIK KOMPUTER,62445,1201,60916,6646
UNIVERSITAS HALUOLEO,7511212,PENDIDIKAN DOKTER,62849,1523,60895,66227
UNIVERSITAS GADJAH MADA,3611476,HIGIENE GIGI,62333,1601,60876,65794
UNIVERSITAS SEBELAS MARET,3531151,BIOLOGI,62556,1423,60875,65682
UNIVERSITAS NEGERI SEMARANG,3561262,FARMASI,62618,1452,6087,65177
UNIVERSITAS GADJAH MADA,3611484,KEHUTANAN,62855,1599,60864,69377
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821175,TEKNIK PERKAPALAN,63462,1988,60855,69905
UNIVERSITAS GADJAH MADA,3611291,TEKNOLOGI HASIL PERIKANAN,62349,162,60851,67573
INSTITUT TEKNOLOGI BANDUNG,3321177,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM) - KAMPUS CIREBON,63309,168,60842,66884
INSTITUT PERTANIAN BOGOR,3411064,EKONOMI SUMBERDAYA DAN LINGKUNGAN,6213,1334,60838,65316
UNIVERSITAS DIPONEGORO,3551066,BIOLOGI,62567,1622,60827,68412
UNIVERSITAS GADJAH MADA,3611302,MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),62461,1411,60794,65268
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821016,FISIKA,62408,1564,6078,69255
UNIVERSITAS PADJADJARAN,3331083,AGRIBISNIS,62673,1862,60742,6933
UNIVERSITAS DIPONEGORO,3551252,TEKNIK PERKAPALAN,62159,1187,60731,65824
UNIVERSITAS ISLAM NEGERI ALAUDDIN,7131162,PENDIDIKAN DOKTER,62508,1327,60723,65733
UNIVERSITAS GADJAH MADA,3611283,AKUAKULTUR (BUDIDAYA PERIKANAN),62499,1527,60665,66919
UNIVERSITAS NEGERI SEMARANG,3561207,TEKNIK SIPIL,61891,1132,60659,65337
UNIVERSITAS BRAWIJAYA,3721391,TEKNIK GEOFISIKA,61739,1009,60638,6412
UNIVERSITAS PADJADJARAN,3331125,ILMU KEPERAWATAN,6287,2476,60636,72673
"UPN ""VETERAN"" YOGYAKARTA",3631063,TEKNIK KIMIA,62296,132,60628,66286
UNIVERSITAS DIPONEGORO,3551082,FISIKA,62026,1151,60613,65109
UNIVERSITAS MULAWARMAN,5411323,KEDOKTERAN GIGI,61631,748,60602,63053
INSTITUT PERTANIAN BOGOR,3411017,AGRIBISNIS,63064,2082,60602,68216
UNIVERSITAS AIRLANGGA,3811084,KIMIA,63038,1685,6059,67645
"UPN ""VETERAN"" YOGYAKARTA",3631055,TEKNIK GEOFISIKA,61466,713,60558,63184
UNIVERSITAS JENDERAL SOEDIRMAN,3511185,ILMU DAN TEKNOLOGI PANGAN,61912,1307,60526,66612
UNIVERSITAS GADJAH MADA,3611267,PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),62236,1518,60526,6647
UNIVERSITAS BRAWIJAYA,3721487,TEKNOLOGI INFORMASI,62307,163,60514,67666
UNIVERSITAS PENDIDIKAN INDONESIA,3341085,BIOLOGI,62182,1664,60507,65752
UNIVERSITAS ISLAM NEGERI JAKARTA,3221033,SISTEM INFORMASI,6243,1744,60502,67658
UNIVERSITAS JENDERAL SOEDIRMAN,3511034,MATEMATIKA,62209,1803,60485,70528
UNIVERSITAS AIRLANGGA,3811142,ILMU DAN TEKNOLOGI LINGKUNGAN,62344,1466,60474,66414
UNIVERSITAS AIRLANGGA,3811126,PENDIDIKAN BIDAN,62023,1433,60456,65923
UNIVERSITAS BRAWIJAYA,3721077,TEKNIK PENGAIRAN,61936,942,60427,6447
INSTITUT PERTANIAN BOGOR,3411362,EKONOMI SYARIAH,62247,2072,6042,70442
"UPN ""VETERAN"" YOGYAKARTA",3631071,TEKNIK INDUSTRI,61994,1279,60411,66189
UNIVERSITAS NEGERI SEMARANG,3561181,TEKNIK KIMIA,61815,1286,60399,67742
UNIVERSITAS PENDIDIKAN INDONESIA,3341015,PENDIDIKAN MATEMATIKA,62357,1804,60384,69832
UNIVERSITAS SEBELAS MARET,3531135,FISIKA,61557,901,60355,64721
"UPN ""VETERAN"" JAKARTA",3241037,TEKNIK INDUSTRI,62143,1433,6035,65521
"UPN ""VETERAN"" JAKARTA",3241111,FARMASI,61905,1418,60347,65616
UNIVERSITAS PENDIDIKAN INDONESIA,3341174,TEKNIK ELEKTRO,6135,879,60319,63907
UNIVERSITAS ANDALAS,1411145,TEKNIK SIPIL,62659,1917,60309,70229
UNIVERSITAS ANDALAS,1411161,TEKNIK LINGKUNGAN,61516,982,60306,63925
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821241,TEK. SIST PERKAPALAN (GLR GANDA ITS-JERMAN),63564,2784,60256,70077
UNIVERSITAS BRAWIJAYA,3721104,BIOLOGI,62076,1653,60253,68813
UNIVERSITAS NEGERI MALANG,3731211,TEKNIK INFORMATIKA,61785,106,60245,64096
UNIVERSITAS SEBELAS MARET,3531046,AGRIBISNIS,61565,1052,60222,6471
UNIVERSITAS NEGERI YOGYAKARTA,3621045,PENDIDIKAN BIOLOGI,62334,2182,6022,7084
UNIVERSITAS JENDERAL SOEDIRMAN,3511026,KIMIA,61273,869,60209,63706
INSTITUT PERTANIAN BOGOR,3411137,KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT,62053,1445,60192,66062
"UPN ""VETERAN"" YOGYAKARTA",3631047,TEKNIK LINGKUNGAN,6164,1018,60181,64796
INSTITUT PERTANIAN BOGOR,3411087,ILMU DAN TEKNOLOGI KELAUTAN,62138,1273,6018,64783
UNIVERSITAS PADJADJARAN,3331214,TEKNOLOGI INDUSTRI PERTANIAN,61966,1256,60172,6419
UNIVERSITAS NEGERI YOGYAKARTA,3621022,PENDIDIKAN FISIKA,62508,1925,60148,67722
UNIVERSITAS NEGERI YOGYAKARTA,3621134,BIOLOGI,61705,968,60148,64541
"UPN ""VETERAN"" JAWA TIMUR",3851031,TEKNIK KIMIA,61383,1216,6012,65749
UNIVERSITAS NEGERI JAKARTA,3231012,PENDIDIKAN MATEMATIKA,62894,2668,60108,6961
UNIVERSITAS NEGERI MALANG,3731017,PENDIDIKAN MATEMATIKA,62557,207,60104,68646
INSTITUT PERTANIAN BOGOR,3411377,MANAJEMEN SUMBERDAYA LAHAN,61513,129,60072,65438
"UPN ""VETERAN"" YOGYAKARTA",3631032,TEKNIK PERMINYAKAN,62113,1725,6002,67303
UNIVERSITAS NEGERI SEMARANG,3561014,PENDIDIKAN MATEMATIKA,61721,1693,60014,670
UNIVERSITAS LAMBUNG MANGKURAT,5311384,KEDOKTERAN GIGI,61718,1418,60008,66908
UNIVERSITAS JENDERAL SOEDIRMAN,3511115,KESEHATAN MASYARAKAT,61647,135,59999,6497
UNIVERSITAS PENDIDIKAN INDONESIA,3341077,FISIKA,61738,1302,59994,64442
UNIVERSITAS GADJAH MADA,3611325,ILMU DAN INDUSTRI PETERNAKAN,61893,1486,59964,67714
"UPN ""VETERAN"" YOGYAKARTA",3631136,SISTEM INFORMASI,6159,1678,59952,66128
UNIVERSITAS PENDIDIKAN INDONESIA,3341197,TEKNIK SIPIL,61563,1284,59923,66495
INSTITUT PERTANIAN BOGOR,3411025,AGRONOMI DAN HORTIKULTURA,62106,1885,59914,69906
UNIVERSITAS GADJAH MADA,3611275,PENYULUHAN DAN KOMUNIKASI PERTANIAN,61957,1408,599,63934
UNIVERSITAS PATTIMURA,8111246,PENDIDIKAN DOKTER,61081,98,599,63244
UNIVERSITAS JEMBER,3711172,TEKNIK SIPIL,61752,1714,59892,69067
UNIVERSITAS BRAWIJAYA,3721383,INSTRUMENTASI,61333,1118,59877,63514
UNIVERSITAS JENDERAL SOEDIRMAN,3511081,TEKNIK ELEKTRO,6148,1581,59869,67906
UNIVERSITAS PADJADJARAN,3331237,KEDOKTERAN HEWAN,6265,2196,59865,67343
UNIVERSITAS PADJADJARAN,3331075,AGROTEKNOLOGI,61521,1368,5986,66048
UNIVERSITAS BRAWIJAYA,3721433,TEKNOLOGI BIOPROSES,61021,1042,59845,64054
UNIVERSITAS SRIWIJAYA,1711013,TEKNIK SIPIL,61774,1702,59844,67612
UNIVERSITAS TADULAKO,7311183,PEND. DOKTER,61169,1296,59837,65401
UNIVERSITAS NEGERI SEMARANG,3561092,MATEMATIKA,61917,188,5983,6784
UNIVERSITAS NEGERI MALANG,3731114,MATEMATIKA,61489,1633,59786,68716
"UPN ""VETERAN"" JAKARTA",3241053,SISTEM INFORMASI,61678,1598,59763,65954
UNIVERSITAS NEGERI YOGYAKARTA,3621111,FISIKA,61289,1694,59755,66237
UNIVERSITAS NEGERI YOGYAKARTA,3621463,TEKNIK SIPIL,61134,1177,59753,64058
UNIVERSITAS DIPONEGORO,3551155,OCEANOGRAFI,61678,1716,59753,67993
INSTITUT PERTANIAN BOGOR,3411451,FISIKA,61909,1632,59746,65889
UNIVERSITAS AIRLANGGA,3811045,KEDOKTERAN HEWAN,62123,1757,59727,68147
UNIVERSITAS BRAWIJAYA,3721201,TEKNOLOGI INDUSTRI PERTANIAN,61668,1514,59702,66522
UNIVERSITAS NEGERI MALANG,3731161,TEKNIK SIPIL,61214,1337,59699,65521
"UPN ""VETERAN"" JAKARTA",3241092,GIZI,61183,1234,59696,64174
UNIVERSITAS NEGERI SEMARANG,3561223,TEKNIK ELEKTRO,60806,131,59689,65225
UNIVERSITAS NEGERI SEMARANG,3561111,KIMIA,609,1367,59676,66696
"UPN ""VETERAN"" YOGYAKARTA",3631105,AGRIBISNIS,61179,1258,59664,64674
UNIVERSITAS SEBELAS MARET,3531197,PENDIDIKAN KIMIA,61271,1124,59662,63422
"UPN ""VETERAN"" JAKARTA",3241084,KESEHATAN MASYARAKAT,61284,1183,59661,64132
UNIVERSITAS ANDALAS,1411226,PSIKOLOGI,61627,1477,59649,65789
UNIVERSITAS SEBELAS MARET,3531255,ILMU TANAH,61379,1752,59642,67296
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821287,DESAIN INTERIOR,6119,1174,59642,63727
UNIVERSITAS NEGERI SEMARANG,3561165,TEKNIK ARSITEKTUR,61016,1294,59622,64324
UNIVERSITAS ANDALAS,1411176,TEKNIK ELEKTRO,61584,191,59612,67352
INSTITUT PERTANIAN BOGOR,3411145,KONSERVASI SUMBERDAYAHUTAN& EKOWISATA,61823,2471,59585,71875
UNIVERSITAS SUMATERA UTARA,1211104,FARMASI,62231,2552,59577,716
UNIVERSITAS NEGERI SURABAYA,3831057,MATEMATIKA,61158,1291,59574,64689
UNIVERSITAS SUMATERA UTARA,1211247,TEKNOLOGI INFORMASI,62611,2662,59573,69098
UNIVERSITAS PENDIDIKAN INDONESIA,3341031,PENDIDIKAN BIOLOGI,6103,1475,5957,66566
"UPN ""VETERAN"" JAWA TIMUR",3851085,ARSITEKTUR,60936,127,59534,64493
"UPN ""VETERAN"" JAWA TIMUR",3851062,TEKNIK INFORMATIKA,61436,1431,59526,65969
UNIVERSITAS JENDERAL SOEDIRMAN,3511123,KEPERAWATAN,61165,1602,5951,67008
UNIVERSITAS NEGERI JAKARTA,3231066,FISIKA,61186,1489,59499,64956
"UPN ""VETERAN"" YOGYAKARTA",3631113,METALURGI,61101,1734,59488,66895
UNIVERSITAS BRAWIJAYA,3721294,PENDIDIKAN DOKTER HEWAN,61763,1991,59475,68146
UNIVERSITAS ANDALAS,1411095,MATEMATIKA,61504,1911,59474,68164
UNIVERSITAS SEBELAS MARET,3531031,AGROTEKNOLOGI / AGROEKOTEKNOLOGI,61336,1712,59468,67888
UNIVERSITAS BRAWIJAYA,3721112,FISIKA,61358,1643,59461,68184
UNIVERSITAS HASANUDDIN,7111382,TEKNIK INFORMATIKA,62359,2404,59456,68305
UNIVERSITAS SRIWIJAYA,1711214,ARSITEKTUR,61466,1845,59415,68253
UNIVERSITAS SUMATERA UTARA,1211054,TEKNIK INDUSTRI,61878,2203,59405,70237
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821225,DESAIN PRODUK INDUSTRI,61073,143,59397,64755
UNIVERSITAS LAMBUNG MANGKURAT,5311295,FARMASI,61263,1588,59393,66773
"UPN ""VETERAN"" YOGYAKARTA",3631144,TEKNIK GEOMATIKA,60418,891,59391,63426
UNIVERSITAS SEBELAS MARET,3531201,PENDIDIKAN BIOLOGI,60922,1397,5939,65442
INSTITUT PERTANIAN BOGOR,3411393,MANAJEMEN SUMBERDAYA PERAIRAN,61044,143,59388,6535
UNIVERSITAS JENDERAL SOEDIRMAN,3511243,TEKNIK INDUSTRI,61209,1419,59375,65726
INSTITUT PERTANIAN BOGOR,3411234,TEKNIK PERTANIAN DAN BIOSISTEM,61321,1724,5937,69404
UNIVERSITAS NEGERI YOGYAKARTA,3621165,PENDIDIKAN IPA,60898,1301,59356,63604
UNIVERSITAS NEGERI MALANG,3731137,KIMIA,60577,1278,59355,6752
UNIVERSITAS JENDERAL SOEDIRMAN,3511146,TEKNIK GEOLOGI,60949,1653,59347,66921
UNIVERSITAS UDAYANA,6111037,TEKNIK ARSITEKTUR,60986,1504,59347,66903
UNIVERSITAS NEGERI YOGYAKARTA,3621157,PENDIDIKAN TEKNIK INFORMATIKA,60862,1241,59332,6318
INSTITUT PERTANIAN BOGOR,3411412,TEKNOLOGI & MANAJEMEN PERIKANAN TANGKAP,61199,1362,5933,65053
INSTITUT PERTANIAN BOGOR,3411385,PROTEKSI TANAMAN,61349,2074,59328,6705
UNIVERSITAS NEGERI JAKARTA,3231082,BIOLOGI,60792,143,5932,64717
UNIVERSITAS SEBELAS MARET,3531313,ILMU LINGKUNGAN,60491,1078,59299,63679
UNIVERSITAS ANDALAS,1411137,TEKNIK MESIN,61245,1709,59298,65393
UNIVERSITAS NEGERI SEMARANG,3561231,GIZI,60874,1311,59298,64918
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651067,TEKNIK INDUSTRI,6107,1578,59283,65429
UNIVERSITAS ANDALAS,1411273,GIZI,60665,1563,59281,65276
UNIVERSITAS DIPONEGORO,3551147,ILMU KELAUTAN,61137,1945,59273,70022
UNIVERSITAS NEGERI YOGYAKARTA,3621432,TEKNIK ELEKTRO,60373,1026,59248,62911
UNIVERSITAS PADJADJARAN,3331156,TEKNIK PERTANIAN,60993,149,59244,6542
UNIVERSITAS ISLAM NEGERI MALANG,3741074,FARMASI,61356,161,59229,65524
UNIVERSITAS BRAWIJAYA,3721321,KEBIDANAN,61204,1593,59217,64426
INSTITUT PERTANIAN BOGOR,3411466,ILMU KELUARGA DAN KONSUMEN,6101,2007,5921,69424
UNIVERSITAS JENDERAL SOEDIRMAN,3511042,FISIKA,60771,1512,59188,65634
UNIVERSITAS DIPONEGORO,3551035,KEPERAWATAN,61351,1606,59161,66352
UNIVERSITAS NEGERI SEMARANG,3561246,SISTEM INFORMASI,60264,927,59147,62127
"UPN ""VETERAN"" JAWA TIMUR",3851093,TEKNIK LINGKUNGAN,6068,1166,59145,64067
UNIVERSITAS TANJUNGPURA,5111215,FARMASI,61024,1647,59126,65697
INSTITUT PERTANIAN BOGOR,3411153,MANAJEMEN HUTAN,60575,1372,59124,65473
UNIVERSITAS SRIWIJAYA,1711036,TEKNIK KIMIA,61456,1755,59123,66463
"UPN ""VETERAN"" JAWA TIMUR",3851046,TEKNIK INDUSTRI,60617,1242,59109,65044
UNIVERSITAS SUMATERA UTARA,1211232,ILMU KOMPUTER,61491,2148,59095,6745
UNIVERSITAS BRAWIJAYA,3721271,AGRIBISNIS,60785,1498,5909,70294
UNIVERSITAS SEBELAS MARET,3531182,PENDIDIKAN FISIKA,60393,1012,59086,62866
UNIVERSITAS SRIWIJAYA,1711326,FARMASI,61008,1777,59068,65926
UNIVERSITAS ISLAM NEGERI JAKARTA,3221041,MATEMATIKA,60529,129,59056,65203
UNIVERSITAS AIRLANGGA,3811076,FISIKA,60443,1009,59054,62914
UNIVERSITAS AIRLANGGA,3811061,BIOLOGI,61527,2634,59048,72674
"UPN ""VETERAN"" JAWA TIMUR",3851104,TEKNIK SIPIL,60519,1273,59039,63853
INSTITUT PERTANIAN BOGOR,3411281,NUTRISI DAN TEKNOLOGI PAKAN,61214,2129,59026,6921
UNIVERSITAS JENDERAL SOEDIRMAN,3511011,BIOLOGI,60418,1361,59021,64908
UNIVERSITAS PADJADJARAN,3331133,ILMU KELAUTAN,61153,1739,59016,6654
UNIVERSITAS NEGERI SURABAYA,3831011,PEND. MATEMATIKA,61065,1885,59012,6595
UNIVERSITAS DIPONEGORO,3551124,AKUAKULTUR,60536,1932,59004,74078
UNIVERSITAS PENDIDIKAN INDONESIA,3341046,PENDIDIKAN KIMIA,60475,1151,59002,63408
UNIVERSITAS SUMATERA UTARA,1211062,TEKNIK KIMIA,60941,1763,58972,68191
UNIVERSITAS NEGERI MALANG,3731033,PENDIDIKAN KIMIA,60408,13,58962,63872
UNIVERSITAS SRIWIJAYA,1711021,TEKNIK PERTAMBANGAN,60892,1523,58951,65266
"UPN ""VETERAN"" JAKARTA",3241014,TEKNIK MESIN,60625,1235,58949,63943
UNIVERSITAS NEGERI SEMARANG,3561126,BIOLOGI,60051,1174,58949,64103
UNIVERSITAS UDAYANA,6111223,FISIOTERAPI,61503,1781,58934,6584
"UPN ""VETERAN"" JAWA TIMUR",3851077,SISTEM INFORMASI,60288,1191,58927,64295
UNIVERSITAS NEGERI SEMARANG,3561134,KESEHATAN MASYARAKAT,60465,1164,58894,63574
UNIVERSITAS NEGERI SURABAYA,3831073,KIMIA,60415,1274,58884,6271
UNIVERSITAS UDAYANA,6111022,KEDOKTERAN HEWAN,61027,2736,58855,73156
UNIVERSITAS NEGERI JAKARTA,3231035,PENDIDIKAN KIMIA,60577,157,58824,63848
UNIVERSITAS JENDERAL SOEDIRMAN,3511177,AGRIBISNIS,6013,1305,5878,6395
"UPN ""VETERAN"" YOGYAKARTA",3631094,AGROTEKNOLOGI,60047,1111,5878,64118
UNIVERSITAS ISLAM NEGERI JAKARTA,3221087,KESEHATAN MASYARAKAT,60409,1359,5877,64022
UNIVERSITAS PENDIDIKAN INDONESIA,3341112,PENDIDIKAN TEKNIK ARSITEKTUR,60432,1448,58766,64324
UNIVERSITAS PENDIDIKAN INDONESIA,3341023,PENDIDIKAN FISIKA,60486,1493,58736,65998
UNIVERSITAS TIDAR,3521021,TEKNIK SIPIL,59897,835,58719,62367
UNIVERSITAS NEGERI SEMARANG,3561196,TEKNIK MESIN,60109,1182,58704,6327
UNIVERSITAS UDAYANA,6111045,TEKNIK SIPIL,60784,1862,58697,66601
UNIVERSITAS NEGERI JAKARTA,3231043,PENDIDIKAN BIOLOGI,5982,1239,58682,64184
INSTITUT PERTANIAN BOGOR,3411427,SILVIKULTUR,59996,109,58676,62956
UNIVERSITAS NEGERI MALANG,3731203,TEKNIK ELEKTRO,60367,1241,58669,63272
UNIVERSITAS BRAWIJAYA,3721313,ILMU KELAUTAN,60514,153,58646,65199
UNIVERSITAS DIPONEGORO,3551317,AGROEKOTEKNOLOGI,60424,1661,58632,67468
"UPN ""VETERAN"" YOGYAKARTA",3631121,ILMU TANAH,59733,1255,58584,6528
UNIVERSITAS SUMATERA UTARA,1211023,TEKNIK SIPIL,60818,1724,58583,65541
UNIVERSITAS SAM RATULANGI,7211023,PENDIDIKAN DOKTER GIGI,59567,1064,58567,62397
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651013,MATEMATIKA,60446,1623,58561,67053
UNIVERSITAS NEGERI SEMARANG,3561103,FISIKA,59661,12,58546,63222
UNIVERSITAS SEBELAS MARET,3531305,PENDIDIKAN IPA,59662,1178,58532,62848
UNIVERSITAS NEGERI SEMARANG,3561037,PENDIDIKAN KIMIA,5995,1291,58498,63826
UNIVERSITAS RIAU,1311167,TEKNIK KIMIA,60172,1411,58497,64303
UNIVERSITAS ANDALAS,1411072,KIMIA,59989,1504,58492,64789
UNIVERSITAS JEMBER,3711141,KESEHATAN MASYARAKAT,60308,1694,58491,66736
UNIVERSITAS LAMPUNG,1911352,FARMASI,60106,1339,5849,62461
UNIVERSITAS JEMBER,3711206,SISTEM INFORMASI,60666,2012,58479,66869
INSTITUT PERTANIAN BOGOR,3411404,TEKNOLOGI HASIL PERAIRAN,60692,1824,58472,65078
UNIVERSITAS AIRLANGGA,3811103,PENDIDIKAN NERS,61003,2371,58457,71246
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651036,KIMIA,59965,1186,58444,62894
UNIVERSITAS ISLAM NEGERI JAKARTA,3221064,KIMIA,59945,1269,58428,63884
UNIVERSITAS NEGERI SEMARANG,3561022,PENDIDIKAN FISIKA,59648,1238,58402,63016
UNIVERSITAS NEGERI YOGYAKARTA,3621092,PENDIDIKAN TEKNIK SIPIL & PERENCANAAN,60104,1517,584,65742
UNIVERSITAS ISLAM NEGERI JAKARTA,3221025,TEKNIK INFORMATIKA,60565,1901,58387,66644
UNIVERSITAS NEGERI YOGYAKARTA,3621455,TEKNIK MANUFAKTUR,60075,1581,5837,63641
UNIVERSITAS SEBELAS MARET,3531263,PENYULUHAN DAN KOMUNIKASI PERTANIAN,5961,1497,58367,67887
UNIVERSITAS NEGERI SEMARANG,3561045,PENDIDIKAN BIOLOGI,59892,1396,5836,63718
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,3361066,TEKNIK INFORMATIKA,60388,1675,58354,65339
UNIVERSITAS ANDALAS,1411056,ILMU KESEHATAN MASYARAKAT,60149,141,58338,64817
INSTITUT PERTANIAN BOGOR,3411482,TEKNOLOGI HASIL TERNAK,60494,1614,5832,63142
UNIVERSITAS NEGERI MALANG,3731192,TEKNIK MESIN,60314,193,5832,65963
UNIVERSITAS NEGERI MALANG,3731226,TEKNIK INDUSTRI,59791,1335,58319,63645
UNIVERSITAS DIPONEGORO,3551325,AGRIBISNIS,60437,1357,5828,62958
UNIVERSITAS UDAYANA,6111207,ILMU KOMPUTER/TEKNIK INFORMATIKA,61239,2568,58276,72378
"UPN ""VETERAN"" JAKARTA",3241076,KEPERAWATAN,59771,1227,58264,62213
"UPN ""VETERAN"" JAKARTA",3241022,TEKNIK PERKAPALAN,59916,1241,58253,62335
UNIVERSITAS PENDIDIKAN INDONESIA,3341201,PENDIDIKAN ILMU PENGETAHUAN ALAM,59648,2249,5825,67786
UNIVERSITAS NEGERI MALANG,3731145,BIOLOGI,59797,1594,5824,64374
UNIVERSITAS SRIWIJAYA,1711284,TEKNIK INFORMATIKA,60765,2366,58237,67007
UNIVERSITAS ANDALAS,1411114,SISTEM KOMPUTER,59845,1602,58223,65316
UNIVERSITAS NEGERI SEMARANG,3561142,PENDIDIKAN IPA,5946,1304,58214,63012
UNIVERSITAS NEGERI MALANG,3731184,ILMU KESEHATAN MASYARAKAT,59879,1746,58205,68701
UNIVERSITAS SRIWIJAYA,1711342,PSIKOLOGI,61253,1676,58197,64792
UNIVERSITAS BRAWIJAYA,3721263,AGROEKOTEKNOLOGI,59759,1354,58192,65566
